Date,Date,Value,D-value,Rate,,,,
0,,1324.6,1324.6,#DIV/0!,,,,意思为自己补上的数据
1,2009/12/16,1324.6,-0.95,-0.0007172,,,,
2,9/13/16,1323.65,-1.9,-0.00143542,,,,
3,9/14/16,1321.75,-10.95,-0.00828447,,,,
4,9/15/16,1310.8,-2.45,-0.00186909,,,,
5,9/16/16,1308.35,2.166666667,0.00165603,,,,
6,,1310.516667,2.166666667,0.00165329,,,,
7,,1312.683333,2.166666667,0.00165056,,,,
8,9/19/16,1314.85,-1.05,-0.00079857,,,,
9,9/20/16,1313.8,12.3,0.00936216,,,,
10,9/21/16,1326.1,13,0.00980318,,,,
11,9/22/16,1339.1,-0.45,-0.00033605,,,,
12,9/23/16,1338.65,0.616666667,0.00046066,,,,
13,,1339.266667,0.616666667,0.00046045,,,,
14,,1339.883333,0.616666667,0.00046024,,,,
15,9/26/16,1340.5,-13.5,-0.01007087,,,,
16,9/27/16,1327,-4.5,-0.00339111,,,,
17,9/28/16,1322.5,-4.4,-0.00332703,,,,
18,9/29/16,1318.1,4.4,0.00333814,,,,
19,9/30/16,1322.5,-3.066666667,-0.00231884,,,,
20,,1319.433333,-3.066666667,-0.00232423,,,,
21,,1316.366667,-3.066666667,-0.00232964,,,,
22,2010/3/16,1313.3,-30,-0.02284322,,,,
23,2010/4/16,1283.3,-13.9,-0.01083145,,,,
24,2010/5/16,1269.4,-14.9,-0.01173783,,,,
25,2010/6/16,1254.5,4.25,0.0033878,,,,
26,2010/7/16,1258.75,0.25,0.00019861,,,,
27,,1259,0.25,0.00019857,,,,
28,,1259.25,0.25,0.00019853,,,,
29,2010/10/16,1259.5,-6.05,-0.00480349,,,,
30,2010/11/16,1253.45,3.05,0.00243328,,,,
31,2010/12/16,1256.5,4.55,0.00362117,,,,
32,10/13/16,1261.05,-9.3,-0.00737481,,,,
33,10/14/16,1251.75,1.016666667,0.0008122,,,,
34,,1252.766667,1.016666667,0.00081154,,,,
35,,1253.783333,1.016666667,0.00081088,,,,
36,10/17/16,1254.8,3.4,0.0027096,,,,
37,10/18/16,1258.2,10.85,0.00862343,,,,
38,10/19/16,1269.05,2.6,0.00204878,,,,
39,10/20/16,1271.65,-5.6,-0.00440373,,,,
40,10/21/16,1266.05,-0.166666667,-0.00013164,,,,
41,,1265.883333,-0.166666667,-0.00013166,,,,
42,,1265.716667,-0.166666667,-0.00013168,,,,
43,10/24/16,1265.55,3.85,0.00304216,,,,
44,10/25/16,1269.4,1.1,0.00086655,,,,
45,10/26/16,1270.5,-4.25,-0.00334514,,,,
46,10/27/16,1266.25,6.75,0.0053307,,,,
47,10/28/16,1273,-0.333333333,-0.00026185,,,,
48,,1272.666667,-0.333333333,-0.00026192,,,,
49,,1272.333333,-0.333333333,-0.00026199,,,,
50,10/31/16,1272,16.45,0.01293239,,,,
51,2011/1/16,1288.45,15.3,0.01187473,,,,
52,2011/2/16,1303.75,-2.75,-0.0021093,,,,
53,2011/3/16,1301,1.8,0.00138355,,,,
54,2011/4/16,1302.8,-6.583333333,-0.00505322,,,,
55,,1296.216667,-6.583333333,-0.00507888,,,,
56,,1289.633333,-6.583333333,-0.00510481,,,,
57,2011/7/16,1283.05,-0.7,-0.00054557,,,,
58,2011/8/16,1282.35,-0.95,-0.00074083,,,,
59,2011/9/16,1281.4,-13.9,-0.01084751,,,,
60,2011/10/16,1267.5,-31.05,-0.02449704,,,,
61,2011/11/16,1236.45,-7.616666667,-0.00616011,,,,
62,,1228.833333,-7.616666667,-0.00619829,,,,
63,,1221.216667,-7.616666667,-0.00623695,,,,
64,11/14/16,1213.6,13.35,0.01100033,,,,
65,11/15/16,1226.95,2.25,0.00183382,,,,
66,11/16/16,1229.2,-2.45,-0.00199317,,,,
67,11/17/16,1226.75,-15.75,-0.0128388,,,,
68,11/18/16,1211,1.083333333,0.00089458,,,,
69,,1212.083333,1.083333333,0.00089378,,,,
70,,1213.166667,1.083333333,0.00089298,,,,
71,11/21/16,1214.25,-2,-0.00164711,,,,
72,11/22/16,1212.25,-26.9,-0.02219014,,,,
73,11/23/16,1185.35,0.75,0.00063272,,,,
74,11/24/16,1186.1,1.6,0.00134896,,,,
75,11/25/16,1187.7,-0.233333333,-0.00019646,,,,
76,,1187.466667,-0.233333333,-0.0001965,,,,
77,,1187.233333,-0.233333333,-0.00019654,,,,
78,11/28/16,1187,-0.45,-0.00037911,,,,
79,11/29/16,1186.55,-8.45,-0.00712149,,,,
80,11/30/16,1178.1,-16.25,-0.0137934,,,,
81,2012/1/16,1161.85,11.65,0.01002711,,,,
82,2012/2/16,1173.5,-3.766666667,-0.00320977,,,,
83,,1169.733333,-3.766666667,-0.00322011,,,,
84,,1165.966667,-3.766666667,-0.00323051,,,,
85,2012/5/16,1162.2,10.3,0.0088625,,,,
86,2012/6/16,1172.5,5.15,0.00439232,,,,
87,2012/7/16,1177.65,-6.6,-0.00560438,,,,
88,2012/8/16,1171.05,-7.45,-0.00636181,,,,
89,2012/9/16,1163.6,-2.5,-0.0021485,,,,
90,,1161.1,-2.5,-0.00215313,,,,
91,,1158.6,-2.5,-0.00215778,,,,
92,2012/12/16,1156.1,2.45,0.00211919,,,,
93,12/13/16,1158.55,3.7,0.00319365,,,,
94,12/14/16,1162.25,-35.3,-0.03037212,,,,
95,12/15/16,1126.95,4.65,0.00412618,,,,
96,12/16/16,1131.6,1.55,0.00136974,,,,
97,,1133.15,1.55,0.00136787,,,,
98,,1134.7,1.55,0.001366,,,,
99,12/19/16,1136.25,-10.55,-0.00928493,,,,
100,12/20/16,1125.7,7.95,0.00706227,,,,
101,12/21/16,1133.65,-2.3,-0.00202884,,,,
102,12/22/16,1131.35,0.541666667,0.00047878,,,,
103,12/23/16,1131.891667,0.541666667,0.00047855,,,,
104,,1132.433333,0.541666667,0.00047832,,,,
105,,1132.975,0.541666667,0.00047809,,,,
106,,1133.516667,0.541666667,0.00047786,,,,
107,,1134.058333,0.541666667,0.00047764,,,,
108,12/28/16,1134.6,11.3,0.00995946,,,,
109,12/29/16,1145.9,1.02,0.00089013,,,,
110,12/30/16,1146.92,1.02,0.00088934,,,,
111,,1147.94,1.02,0.00088855,,,,
112,,1148.96,1.02,0.00088776,,,,
113,,1149.98,1.02,0.00088697,,,,
114,2001/3/17,1151,13.25,0.01151173,,,,
115,2001/4/17,1164.25,12.45,0.01069358,,,,
116,2001/5/17,1176.7,-0.85,-0.00072236,,,,
117,2001/6/17,1175.85,0.883333333,0.00075123,,,,
118,,1176.733333,0.883333333,0.00075067,,,,
119,,1177.616667,0.883333333,0.0007501,,,,
120,2001/9/17,1178.5,11,0.0093339,,,,
121,2001/10/17,1189.5,-10.95,-0.00920555,,,,
122,2001/11/17,1178.55,26.5,0.02248526,,,,
123,2001/12/17,1205.05,-14.7,-0.01219866,,,,
124,1/13/17,1190.35,4.216666667,0.00354238,,,,
125,,1194.566667,4.216666667,0.00352987,,,,
126,,1198.783333,4.216666667,0.00351746,,,,
127,1/16/17,1203,13.05,0.01084788,,,,
128,1/17/17,1216.05,-1.3,-0.00106903,,,,
129,1/18/17,1214.75,-18.7,-0.01539411,,,,
130,1/19/17,1196.05,4.5,0.00376238,,,,
131,1/20/17,1200.55,4.1,0.0034151,,,,
132,,1204.65,4.1,0.00340348,,,,
133,,1208.75,4.1,0.00339193,,,,
134,1/23/17,1212.85,3.95,0.00325679,,,,
135,1/24/17,1216.8,-21.8,-0.01791584,,,,
136,1/25/17,1195,-5.3,-0.00443515,,,,
137,1/26/17,1189.7,-4.85,-0.00407666,,,,
138,1/27/17,1184.85,2.65,0.00223657,,,,
139,,1187.5,2.65,0.00223158,,,,
140,,1190.15,2.65,0.00222661,,,,
141,1/30/17,1192.8,20,0.01676727,,,,
142,1/31/17,1212.8,-9.15,-0.00754453,,,,
143,2002/1/17,1203.65,18.3,0.01520376,,,,
144,2002/2/17,1221.95,-6.75,-0.00552396,,,,
145,2002/3/17,1215.2,3.85,0.0031682,,,,
146,,1219.05,3.85,0.0031582,,,,
147,,1222.9,3.85,0.00314825,,,,
148,2002/6/17,1226.75,4.25,0.00346444,,,,
149,2002/7/17,1231,11.1,0.00901706,,,,
150,2002/8/17,1242.1,-5.3,-0.00426697,,,,
151,2002/9/17,1236.8,-8.5,-0.00687257,,,,
152,2002/10/17,1228.3,-2.016666667,-0.00164184,,,,
153,,1226.283333,-2.016666667,-0.00164454,,,,
154,,1224.266667,-2.016666667,-0.00164724,,,,
155,2/13/17,1222.25,8.5,0.00695439,,,,
156,2/14/17,1230.75,-6.35,-0.00515946,,,,
157,2/15/17,1224.4,16.15,0.01319013,,,,
158,2/16/17,1240.55,1.4,0.00112853,,,,
159,2/17/17,1241.95,-1.55,-0.00124804,,,,
160,,1240.4,-1.55,-0.0012496,,,,
161,,1238.85,-1.55,-0.00125116,,,,
162,2/20/17,1237.3,-4.1,-0.00331367,,,,
163,2/21/17,1233.2,3.45,0.0027976,,,,
164,2/22/17,1236.65,11.25,0.00909716,,,,
165,2/23/17,1247.9,5.75,0.00460774,,,,
166,2/24/17,1253.65,1.183333333,0.00094391,,,,
167,,1254.833333,1.183333333,0.00094302,,,,
168,,1256.016667,1.183333333,0.00094213,,,,
169,2/27/17,1257.2,-1.6,-0.00127267,,,,
170,2/28/17,1255.6,-15.2,-0.01210577,,,,
171,2003/1/17,1240.4,-2.3,-0.00185424,,,,
172,2003/2/17,1238.1,-11.6,-0.00936919,,,,
173,2003/3/17,1226.5,1.483333333,0.0012094,,,,
174,,1227.983333,1.483333333,0.00120794,,,,
175,,1229.466667,1.483333333,0.00120649,,,,
176,2003/6/17,1230.95,-14.3,-0.01161704,,,,
177,2003/7/17,1216.65,-7.45,-0.00612337,,,,
178,2003/8/17,1209.2,-2.65,-0.00219153,,,,
179,2003/9/17,1206.55,-3.9,-0.00323236,,,,
180,2003/10/17,1202.65,0.516666667,0.00042961,,,,
181,,1203.166667,0.516666667,0.00042942,,,,
182,,1203.683333,0.516666667,0.00042924,,,,
183,3/13/17,1204.2,0.4,0.00033217,,,,
184,3/14/17,1204.6,-5.8,-0.00481488,,,,
185,3/15/17,1198.8,30.55,0.02548382,,,,
186,3/16/17,1229.35,0.25,0.00020336,,,,
187,3/17/17,1229.6,0.933333333,0.00075905,,,,
188,,1230.533333,0.933333333,0.00075848,,,,
189,,1231.466667,0.933333333,0.0007579,,,,
190,3/20/17,1232.4,9.2,0.00746511,,,,
191,3/21/17,1241.6,7.45,0.00600032,,,,
192,3/22/17,1249.05,-1.55,-0.00124094,,,,
193,3/23/17,1247.5,0,0,,,,
194,3/24/17,1247.5,3.35,0.00268537,,,,
195,,1250.85,3.35,0.00267818,,,,
196,,1254.2,3.35,0.00267103,,,,
197,3/27/17,1257.55,-0.3,-0.00023856,,,,
198,3/28/17,1257.25,-6.15,-0.00489163,,,,
199,3/29/17,1251.1,-2.3,-0.00183838,,,,
200,3/30/17,1248.8,-3.95,-0.00316304,,,,
201,3/31/17,1244.85,0.8,0.00064265,,,,
202,,1245.65,0.8,0.00064223,,,,
203,,1246.45,0.8,0.00064182,,,,
204,2004/3/17,1247.25,10.4,0.00833834,,,,
205,2004/4/17,1257.65,-11.85,-0.00942234,,,,
206,2004/5/17,1245.8,6.7,0.00537807,,,,
207,2004/6/17,1252.5,13.95,0.01113772,,,,
208,2004/7/17,1266.45,-5.466666667,-0.00431653,,,,
209,,1260.983333,-5.466666667,-0.00433524,,,,
210,,1255.516667,-5.466666667,-0.00435412,,,,
211,2004/10/17,1250.05,2.85,0.00227991,,,,
212,2004/11/17,1252.9,21.4,0.01708037,,,,
213,2004/12/17,1274.3,9.85,0.00772973,,,,
214,4/13/17,1284.15,-1.04,-0.00080987,,,,
215,,1283.11,-1.04,-0.00081053,,,,
216,,1282.07,-1.04,-0.00081119,,,,
217,,1281.03,-1.04,-0.00081185,,,,
218,,1279.99,-1.04,-0.00081251,,,,
219,4/18/17,1278.95,0.1,0.00007819,,,,
220,4/19/17,1279.05,3.05,0.00238458,,,,
221,4/20/17,1282.1,-0.25,-0.00019499,,,,
222,4/21/17,1281.85,-4.15,-0.00323751,,,,
223,,1277.7,-4.15,-0.00324802,,,,
224,,1273.55,-4.15,-0.00325861,,,,
225,4/24/17,1269.4,-1.6,-0.00126044,,,,
226,4/25/17,1267.8,-5.95,-0.00469317,,,,
227,4/26/17,1261.85,0.95,0.00075286,,,,
228,4/27/17,1262.8,3.65,0.0028904,,,,
229,4/28/17,1266.45,-2.75,-0.00217142,,,,
230,,1263.7,-2.75,-0.00217615,,,,
231,,1260.95,-2.75,-0.0021809,,,,
232,,1258.2,-2.75,-0.00218566,,,,
233,2005/2/17,1255.45,-5.15,-0.00410211,,,,
234,2005/3/17,1250.3,-21.85,-0.01747581,,,,
235,2005/4/17,1228.45,-0.4,-0.00032561,,,,
236,2005/5/17,1228.05,0.583333333,0.00047501,,,,
237,,1228.633333,0.583333333,0.00047478,,,,
238,,1229.216667,0.583333333,0.00047456,,,,
239,2005/8/17,1229.8,-9.4,-0.00764352,,,,
240,2005/9/17,1220.4,2.55,0.00208948,,,,
241,2005/10/17,1222.95,0.2,0.00016354,,,,
242,2005/11/17,1223.15,8.1,0.00662225,,,,
243,2005/12/17,1231.25,0.683333333,0.00055499,,,,
244,,1231.933333,0.683333333,0.00055468,,,,
245,,1232.616667,0.683333333,0.00055438,,,,
246,5/15/17,1233.3,0.9,0.00072975,,,,
247,5/16/17,1234.2,23.2,0.0187976,,,,
248,5/17/17,1257.4,-1.5,-0.00119294,,,,
249,5/18/17,1255.9,-3.9,-0.00310534,,,,
250,5/19/17,1252,2.283333333,0.00182375,,,,
251,,1254.283333,2.283333333,0.00182043,,,,
252,,1256.566667,2.283333333,0.00181712,,,,
253,5/22/17,1258.85,1.35,0.00107241,,,,
254,5/23/17,1260.2,-7.65,-0.00607047,,,,
255,5/24/17,1252.55,4.4,0.00351283,,,,
256,5/25/17,1256.95,8.1,0.00644417,,,,
257,5/26/17,1265.05,-0.783333333,-0.00061921,,,,
258,,1264.266667,-0.783333333,-0.0006196,,,,
259,,1263.483333,-0.783333333,-0.00061998,,,,
260,5/30/17,1262.7,3.5,0.00277184,,,,
261,5/31/17,1266.2,-1.35,-0.00106618,,,,
262,2006/1/17,1264.85,10.1,0.00798514,,,,
263,2006/2/17,1274.95,1.25,0.00098043,,,,
264,,1276.2,1.25,0.00097947,,,,
265,,1277.45,1.25,0.00097851,,,,
266,,1278.7,1.25,0.00097756,,,,
267,2006/5/17,1279.95,13.55,0.01058635,,,,
268,2006/6/17,1293.5,-2.5,-0.00193274,,,,
269,2006/7/17,1291,-17.9,-0.01386522,,,,
270,2006/8/17,1273.1,-6.55,-0.00514492,,,,
271,2006/9/17,1266.55,-0.05,-0.00003948,,,,
272,,1266.5,-0.05,-0.00003948,,,,
273,,1266.45,-0.05,-0.00003948,,,,
274,2006/12/17,1266.4,-4.4,-0.00347442,,,,
275,6/13/17,1262,13.5,0.01069731,,,,
276,6/14/17,1275.5,-20.95,-0.01642493,,,,
277,6/15/17,1254.55,0.85,0.00067753,,,,
278,6/16/17,1255.4,-2.416666667,-0.00192502,,,,
279,,1252.983333,-2.416666667,-0.00192873,,,,
280,,1250.566667,-2.416666667,-0.00193246,,,,
281,6/19/17,1248.15,-5.95,-0.00476706,,,,
282,6/20/17,1242.2,0.3,0.00024151,,,,
283,6/21/17,1242.5,8.3,0.00668008,,,,
284,6/22/17,1250.8,4.9,0.00391749,,,,
285,6/23/17,1255.7,-3.483333333,-0.00277402,,,,
286,,1252.216667,-3.483333333,-0.00278173,,,,
287,,1248.733333,-3.483333333,-0.00278949,,,,
288,6/26/17,1245.25,4.3,0.00345312,,,,
289,6/27/17,1249.55,-1.55,-0.00124045,,,,
290,6/28/17,1248,-4.5,-0.00360577,,,,
291,6/29/17,1243.5,-1.25,-0.00100523,,,,
292,6/30/17,1242.25,-4.333333333,-0.00348829,,,,
293,,1237.916667,-4.333333333,-0.0035005,,,,
294,,1233.583333,-4.333333333,-0.0035128,,,,
295,2007/3/17,1229.25,-5.5,-0.00447427,,,,
296,2007/4/17,1223.75,-3.45,-0.0028192,,,,
297,2007/5/17,1220.3,4.6,0.00376956,,,,
298,2007/6/17,1224.9,-9.25,-0.00755164,,,,
299,2007/7/17,1215.65,-1.25,-0.00102826,,,,
300,,1214.4,-1.25,-0.00102931,,,,
301,,1213.15,-1.25,-0.00103038,,,,
302,2007/10/17,1211.9,-0.85,-0.00070138,,,,
303,2007/11/17,1211.05,7.75,0.00639941,,,,
304,2007/12/17,1218.8,0.1,0.00008205,,,,
305,7/13/17,1218.9,11.4,0.0093527,,,,
306,7/14/17,1230.3,1.266666667,0.00102956,,,,
307,,1231.566667,1.266666667,0.0010285,,,,
308,,1232.833333,1.266666667,0.00102744,,,,
309,7/17/17,1234.1,6.65,0.00538854,,,,
310,7/18/17,1240.75,1.4,0.00112835,,,,
311,7/19/17,1242.15,-3.45,-0.00277744,,,,
312,7/20/17,1238.7,9.85,0.00795189,,,,
313,7/21/17,1248.55,2.333333333,0.00186883,,,,
314,,1250.883333,2.333333333,0.00186535,,,,
315,,1253.216667,2.333333333,0.00186188,,,,
316,7/24/17,1255.55,-1.15,-0.00091593,,,,
317,7/25/17,1254.4,-6.3,-0.00502232,,,,
318,7/26/17,1248.1,13,0.01041583,,,,
319,7/27/17,1261.1,3.8,0.00301324,,,,
320,7/28/17,1264.9,0.883333333,0.00069834,,,,
321,,1265.783333,0.883333333,0.00069786,,,,
322,,1266.666667,0.883333333,0.00069737,,,,
323,7/31/17,1267.55,3.4,0.00268234,,,,
324,2008/1/17,1270.95,-1.35,-0.0010622,,,,
325,2008/2/17,1269.6,-1.5,-0.00118147,,,,
326,2008/3/17,1268.1,-10.4,-0.00820125,,,,
327,2008/4/17,1257.7,0.1,0.00007951,,,,
328,,1257.8,0.1,0.0000795,,,,
329,,1257.9,0.1,0.0000795,,,,
330,2008/7/17,1258,3.8,0.00302067,,,,
331,2008/8/17,1261.8,9.25,0.0073308,,,,
332,2008/9/17,1271.05,13.35,0.01050313,,,,
333,2008/10/17,1284.4,1.7,0.00132358,,,,
334,2008/11/17,1286.1,-1.266666667,-0.00098489,,,,
335,,1284.833333,-1.266666667,-0.00098586,,,,
336,,1283.566667,-1.266666667,-0.00098683,,,,
337,8/14/17,1282.3,-12,-0.00935818,,,,
338,8/15/17,1270.3,2.45,0.00192868,,,,
339,8/16/17,1272.75,12.4,0.00974268,,,,
340,8/17/17,1285.15,10.65,0.00828697,,,,
341,8/18/17,1295.8,-0.966666667,-0.000746,,,,
342,,1294.833333,-0.966666667,-0.00074656,,,,
343,,1293.866667,-0.966666667,-0.00074711,,,,
344,8/21/17,1292.9,-8.7,-0.00672906,,,,
345,8/22/17,1284.2,2.45,0.0019078,,,,
346,8/23/17,1286.65,2.35,0.00182645,,,,
347,8/24/17,1289,-3.7,-0.00287044,,,,
348,8/25/17,1285.3,8.3375,0.00648681,,,,
349,,1293.6375,8.3375,0.006445,,,,
350,,1301.975,8.3375,0.00640373,,,,
351,,1310.3125,8.3375,0.00636299,,,,
352,8/29/17,1318.65,-10.15,-0.00769727,,,,
353,8/30/17,1308.5,3.25,0.00248376,,,,
354,8/31/17,1311.75,8.65,0.00659424,,,,
355,2009/1/17,1320.4,4.233333333,0.0032061,,,,
356,,1324.633333,4.233333333,0.00319585,,,,
357,,1328.866667,4.233333333,0.00318567,,,,
358,2009/4/17,1333.1,2.45,0.00183782,,,,
359,2009/5/17,1335.55,2.3,0.00172214,,,,
360,2009/6/17,1337.85,5.65,0.00422319,,,,
361,2009/7/17,1343.5,2.75,0.00204689,,,,
362,2009/8/17,1346.25,-4.016666667,-0.0029836,,,,
363,,1342.233333,-4.016666667,-0.00299252,,,,
364,,1338.216667,-4.016666667,-0.00300151,,,,
365,2009/11/17,1334.2,-7.7,-0.00577125,,,,
366,2009/12/17,1326.5,1.05,0.00079156,,,,
367,9/13/17,1327.55,-3,-0.0022598,,,,
368,9/14/17,1324.55,-1.7,-0.00128345,,,,
369,9/15/17,1322.85,-3.583333333,-0.0027088,,,,
370,,1319.266667,-3.583333333,-0.00271616,,,,
371,,1315.683333,-3.583333333,-0.00272355,,,,
372,9/18/17,1312.1,-2.5,-0.00190534,,,,
373,9/19/17,1309.6,1.7,0.00129811,,,,
374,9/20/17,1311.3,-19.2,-0.01464196,,,,
375,9/21/17,1292.1,2.7,0.00208962,,,,
376,9/22/17,1294.8,-0.5,-0.00038616,,,,
377,,1294.3,-0.5,-0.00038631,,,,
378,,1293.8,-0.5,-0.00038646,,,,
379,9/25/17,1293.3,6.75,0.00521921,,,,
380,9/26/17,1300.05,-17.5,-0.01346102,,,,
381,9/27/17,1282.55,0.8,0.00062376,,,,
382,9/28/17,1283.35,-0.25,-0.0001948,,,,
383,9/29/17,1283.1,-3.133333333,-0.002442,,,,
384,,1279.966667,-3.133333333,-0.00244798,,,,
385,,1276.833333,-3.133333333,-0.00245399,,,,
386,2010/2/17,1273.7,-2.45,-0.00192353,,,,
387,2010/3/17,1271.25,3,0.00235988,,,,
388,2010/4/17,1274.25,0.25,0.00019619,,,,
389,2010/5/17,1274.5,-12.7,-0.00996469,,,,
390,2010/6/17,1261.8,5.65,0.00447773,,,,
391,,1267.45,5.65,0.00445777,,,,
392,,1273.1,5.65,0.00443799,,,,
393,2010/9/17,1278.75,12.65,0.00989247,,,,
394,2010/10/17,1291.4,-2.15,-0.00166486,,,,
395,2010/11/17,1289.25,1,0.00077564,,,,
396,2010/12/17,1290.25,9.35,0.00724666,,,,
397,10/13/17,1299.6,1.233333333,0.00094901,,,,
398,,1300.833333,1.233333333,0.00094811,,,,
399,,1302.066667,1.233333333,0.00094721,,,,
400,10/16/17,1303.3,-18.55,-0.0142331,,,,
401,10/17/17,1284.75,-4.55,-0.00354155,,,,
402,10/18/17,1280.2,6.2,0.00484299,,,,
403,10/19/17,1286.4,-5.2,-0.00404229,,,,
404,10/20/17,1281.2,-2.1,-0.00163909,,,,
405,,1279.1,-2.1,-0.00164178,,,,
406,,1277,-2.1,-0.00164448,,,,
407,10/23/17,1274.9,1.55,0.00121578,,,,
408,10/24/17,1276.45,-1.45,-0.00113596,,,,
409,10/25/17,1275,-1.25,-0.00098039,,,,
410,10/26/17,1273.75,-7.3,-0.00573111,,,,
411,10/27/17,1266.45,1.85,0.00146078,,,,
412,,1268.3,1.85,0.00145865,,,,
413,,1270.15,1.85,0.00145652,,,,
414,10/30/17,1272,-1.85,-0.0014544,,,,
415,10/31/17,1270.15,6.9,0.00543243,,,,
416,2011/1/17,1277.05,2.15,0.00168357,,,,
417,2011/2/17,1279.2,-12,-0.00938086,,,,
418,2011/3/17,1267.2,1.233333333,0.00097327,,,,
419,,1268.433333,1.233333333,0.00097233,,,,
420,,1269.666667,1.233333333,0.00097138,,,,
421,2011/6/17,1270.9,4.7,0.00369817,,,,
422,2011/7/17,1275.6,8.4,0.00658514,,,,
423,2011/8/17,1284,0.8,0.00062305,,,,
424,2011/9/17,1284.8,-0.5,-0.00038917,,,,
425,2011/10/17,1284.3,-2.116666667,-0.00164811,,,,
426,,1282.183333,-2.116666667,-0.00165083,,,,
427,,1280.066667,-2.116666667,-0.00165356,,,,
428,11/13/17,1277.95,-3.35,-0.00262139,,,,
429,11/14/17,1274.6,7.6,0.00596265,,,,
430,11/15/17,1282.2,-2.2,-0.0017158,,,,
431,11/16/17,1280,4.35,0.00339844,,,,
432,11/17/17,1284.35,0.616666667,0.00048014,,,,
433,,1284.966667,0.616666667,0.00047991,,,,
434,,1285.583333,0.616666667,0.00047968,,,,
435,11/20/17,1286.2,-2.9,-0.0022547,,,,
436,11/21/17,1283.3,3.65,0.00284423,,,,
437,11/22/17,1286.95,3.4,0.00264191,,,,
438,11/23/17,1290.35,0.15,0.00011625,,,,
439,11/24/17,1290.5,1.466666667,0.00113651,,,,
440,,1291.966667,1.466666667,0.00113522,,,,
441,,1293.433333,1.466666667,0.00113393,,,,
442,11/27/17,1294.9,-3.05,-0.00235539,,,,
443,11/28/17,1291.85,-8,-0.00619267,,,,
444,11/29/17,1283.85,-3.65,-0.00284301,,,,
445,11/30/17,1280.2,-4.7,-0.0036713,,,,
446,2012/1/17,1275.5,-0.683333333,-0.00053574,,,,
447,,1274.816667,-0.683333333,-0.00053602,,,,
448,,1274.133333,-0.683333333,-0.00053631,,,,
449,2012/4/17,1273.45,-7.15,-0.00561467,,,,
450,2012/5/17,1266.3,-2.6,-0.00205323,,,,
451,2012/6/17,1263.7,-8.7,-0.00688455,,,,
452,2012/7/17,1255,-4.35,-0.00346614,,,,
453,2012/8/17,1250.65,-1.166666667,-0.00093285,,,,
454,,1249.483333,-1.166666667,-0.00093372,,,,
455,,1248.316667,-1.166666667,-0.00093459,,,,
456,2012/11/17,1247.15,-6.25,-0.00501143,,,,
457,2012/12/17,1240.9,1.75,0.00141027,,,,
458,12/13/17,1242.65,8.35,0.00671951,,,,
459,12/14/17,1251,3.6,0.0028777,,,,
460,12/15/17,1254.6,2,0.00159413,,,,
461,,1256.6,2,0.0015916,,,,
