Date,Date,Value,D-value,Rate,,,,
462,,1258.6,2,0.00158907,,,,
463,12/18/17,1260.6,-0.25,-0.00019832,,,,
464,12/19/17,1260.35,4.2,0.00333241,,,,
465,12/20/17,1264.55,0,0,,,,
466,12/21/17,1264.55,2.475,0.00195722,,,,
467,12/22/17,1267.025,2.475,0.00195339,,,,
468,,1269.5,2.475,0.00194959,,,,
469,,1271.975,2.475,0.00194579,,,,
470,,1274.45,2.475,0.00194201,,,,
471,,1276.925,2.475,0.00193825,,,,
472,12/27/17,1279.4,11.6,0.00906675,,,,
473,12/28/17,1291,4.21,0.00326104,,,,
474,12/29/17,1295.21,4.21,0.00325044,,,,
475,,1299.42,4.21,0.00323991,,,,
476,,1303.63,4.21,0.00322944,,,,
477,,1307.84,4.21,0.00321905,,,,
478,2001/2/18,1312.05,2.85,0.00217217,,,,
479,2001/3/18,1314.9,-0.4,-0.00030421,,,,
480,2001/4/18,1314.5,2.65,0.00201598,,,,
481,2001/5/18,1317.15,0.933333333,0.0007086,,,,
482,,1318.083333,0.933333333,0.0007081,,,,
483,,1319.016667,0.933333333,0.0007076,,,,
484,2001/8/18,1319.95,-8.95,-0.00678056,,,,
485,2001/9/18,1311,8.75,0.00667429,,,,
486,2001/10/18,1319.75,3.3,0.00250047,,,,
487,2001/11/18,1323.05,3.75,0.00283436,,,,
488,2001/12/18,1326.8,4.15,0.00312783,,,,
489,,1330.95,4.15,0.00311807,,,,
490,,1335.1,4.15,0.00310838,,,,
491,1/15/18,1339.25,-5.4,-0.00403211,,,,
492,1/16/18,1333.85,1.8,0.00134948,,,,
493,1/17/18,1335.65,-3.45,-0.00258301,,,,
494,1/18/18,1332.2,2.75,0.00206425,,,,
495,1/19/18,1334.95,-0.783333333,-0.00058679,,,,
496,,1334.166667,-0.783333333,-0.00058713,,,,
497,,1333.383333,-0.783333333,-0.00058748,,,,
498,1/22/18,1332.6,0.8,0.00060033,,,,
499,1/23/18,1333.4,20.3,0.01522424,,,,
500,1/24/18,1353.7,1.25,0.0009234,,,,
501,1/25/18,1354.95,-1.8,-0.00132846,,,,
502,1/26/18,1353.15,-3.1,-0.00229095,,,,
503,,1350.05,-3.1,-0.00229621,,,,
504,,1346.95,-3.1,-0.0023015,,,,
505,1/29/18,1343.85,1.05,0.00078134,,,,
506,1/30/18,1344.9,0.15,0.00011153,,,,
507,1/31/18,1345.05,-3.7,-0.00275083,,,,
508,2002/1/18,1341.35,-10.2,-0.00760428,,,,
509,2002/2/18,1331.15,0.816666667,0.0006135,,,,
510,,1331.966667,0.816666667,0.00061313,,,,
511,,1332.783333,0.816666667,0.00061275,,,,
512,2002/5/18,1333.6,-2.2,-0.00164967,,,,
513,2002/6/18,1331.4,-6.75,-0.00506985,,,,
514,2002/7/18,1324.65,-9.2,-0.00694523,,,,
515,2002/8/18,1315.45,-1.35,-0.00102626,,,,
516,2002/9/18,1314.1,2.733333333,0.00208,,,,
517,,1316.833333,2.733333333,0.00207569,,,,
518,,1319.566667,2.733333333,0.00207139,,,,
519,2002/12/18,1322.3,3.05,0.00230659,,,,
520,2/13/18,1325.35,10.9,0.00822424,,,,
521,2/14/18,1336.25,16.2,0.01212348,,,,
522,2/15/18,1352.45,-0.35,-0.00025879,,,,
523,2/16/18,1352.1,-1.833333333,-0.00135592,,,,
524,,1350.266667,-1.833333333,-0.00135776,,,,
525,,1348.433333,-1.833333333,-0.0013596,,,,
526,2/19/18,1346.6,-6.75,-0.00501262,,,,
527,2/20/18,1339.85,-9.35,-0.00697839,,,,
528,2/21/18,1330.5,-2.15,-0.00161593,,,,
529,2/22/18,1328.35,-0.4,-0.00030113,,,,
530,2/23/18,1327.95,1.85,0.00139312,,,,
531,,1329.8,1.85,0.00139119,,,,
532,,1331.65,1.85,0.00138925,,,,
533,2/26/18,1333.5,-7.75,-0.00581177,,,,
534,2/27/18,1325.75,-7.9,-0.00595889,,,,
535,2/28/18,1317.85,-10.1,-0.007664,,,,
536,2003/1/18,1307.75,14.55,0.01112598,,,,
537,2003/2/18,1322.3,-0.633333333,-0.00047896,,,,
538,,1321.666667,-0.633333333,-0.00047919,,,,
539,,1321.033333,-0.633333333,-0.00047942,,,,
540,2003/5/18,1320.4,11,0.00833081,,,,
541,2003/6/18,1331.4,-2,-0.00150218,,,,
542,2003/7/18,1329.4,-8.4,-0.00631864,,,,
543,2003/8/18,1321,-0.4,-0.0003028,,,,
544,2003/9/18,1320.6,-0.483333333,-0.000366,,,,
545,,1320.116667,-0.483333333,-0.00036613,,,,
546,,1319.633333,-0.483333333,-0.00036626,,,,
547,2003/12/18,1319.15,3.6,0.00272903,,,,
548,3/13/18,1322.75,0.8,0.0006048,,,,
549,3/14/18,1323.55,-4.8,-0.00362661,,,,
550,3/15/18,1318.75,-8.65,-0.00655924,,,,
551,3/16/18,1310.1,0.766666667,0.0005852,,,,
552,,1310.866667,0.766666667,0.00058485,,,,
553,,1311.633333,0.766666667,0.00058451,,,,
554,3/19/18,1312.4,-1.4,-0.00106675,,,,
555,3/20/18,1311,10.35,0.00789474,,,,
556,3/21/18,1321.35,7.8,0.00590305,,,,
557,3/22/18,1329.15,17.45,0.01312869,,,,
558,3/23/18,1346.6,1.933333333,0.00143571,,,,
559,,1348.533333,1.933333333,0.00143366,,,,
560,,1350.466667,1.933333333,0.0014316,,,,
561,3/26/18,1352.4,-10.95,-0.00809672,,,,
562,3/27/18,1341.45,-9,-0.00670916,,,,
563,3/28/18,1332.45,-8.6,-0.00645428,,,,
564,3/29/18,1323.85,1.92,0.00145032,,,,
565,,1325.77,1.92,0.00144821,,,,
566,,1327.69,1.92,0.00144612,,,,
567,,1329.61,1.92,0.00144403,,,,
568,,1331.53,1.92,0.00144195,,,,
569,2004/3/18,1333.45,3.85,0.00288725,,,,
570,2004/4/18,1337.3,-9.6,-0.00717864,,,,
571,2004/5/18,1327.7,3.5,0.00263614,,,,
572,2004/6/18,1331.2,0.25,0.0001878,,,,
573,,1331.45,0.25,0.00018777,,,,
574,,1331.7,0.25,0.00018773,,,,
575,2004/9/18,1331.95,7,0.00525545,,,,
576,2004/10/18,1338.95,11.8,0.00881288,,,,
577,2004/11/18,1350.75,-9.4,-0.0069591,,,,
578,2004/12/18,1341.35,2.35,0.00175197,,,,
579,4/13/18,1343.7,1.883333333,0.0014016,,,,
580,,1345.583333,1.883333333,0.00139964,,,,
581,,1347.466667,1.883333333,0.00139768,,,,
582,4/16/18,1349.35,-7.25,-0.00537296,,,,
583,4/17/18,1342.1,9.35,0.00696669,,,,
584,4/18/18,1351.45,-2.85,-0.00210885,,,,
585,4/19/18,1348.6,-11.85,-0.00878689,,,,
586,4/20/18,1336.75,-4.15,-0.00310454,,,,
587,,1332.6,-4.15,-0.00311421,,,,
588,,1328.45,-4.15,-0.00312394,,,,
589,4/23/18,1324.3,4.55,0.00343578,,,,
590,4/24/18,1328.85,-7.2,-0.00541822,,,,
591,4/25/18,1321.65,-0.95,-0.0007188,,,,
592,4/26/18,1320.7,0.8,0.00060574,,,,
593,4/27/18,1321.5,-2.766666667,-0.00209358,,,,
594,,1318.733333,-2.766666667,-0.00209797,,,,
595,,1315.966667,-2.766666667,-0.00210238,,,,
596,4/30/18,1313.2,-6.1,-0.00464514,,,,
597,2005/1/18,1307.1,-2.9,-0.00221865,,,,
598,2005/2/18,1304.2,10.85,0.00831928,,,,
599,2005/3/18,1315.05,-5.65,-0.00429641,,,,
600,2005/4/18,1309.4,-0.7,-0.0005346,,,,
601,,1308.7,-0.7,-0.00053488,,,,
602,,1308,-0.7,-0.00053517,,,,
603,,1307.3,-0.7,-0.00053545,,,,
604,2005/8/18,1306.6,7.25,0.00554875,,,,
605,2005/9/18,1313.85,4.95,0.00376755,,,,
606,2005/10/18,1318.8,5.55,0.00420837,,,,
607,2005/11/18,1324.35,-1.5,-0.00113263,,,,
608,,1322.85,-1.5,-0.00113392,,,,
609,,1321.35,-1.5,-0.0011352,,,,
610,5/14/18,1319.85,-24.85,-0.0188279,,,,
611,5/15/18,1295,-3.75,-0.00289575,,,,
612,5/16/18,1291.25,-1.75,-0.00135528,,,,
613,5/17/18,1289.5,-1.2,-0.00093059,,,,
614,5/18/18,1288.3,0.016666667,0.00001294,,,,
615,,1288.316667,0.016666667,0.00001294,,,,
616,,1288.333333,0.016666667,0.00001294,,,,
617,5/21/18,1288.35,4.7,0.00364808,,,,
618,5/22/18,1293.05,-4.05,-0.00313213,,,,
619,5/23/18,1289,15.85,0.01229635,,,,
620,5/24/18,1304.85,-1.35,-0.0010346,,,,
621,5/25/18,1303.5,-2,-0.00153433,,,,
622,,1301.5,-2,-0.00153669,,,,
623,,1299.5,-2,-0.00153905,,,,
624,,1297.5,-2,-0.00154143,,,,
625,5/29/18,1295.5,5.2,0.00401389,,,,
626,5/30/18,1300.7,4.65,0.003575,,,,
627,5/31/18,1305.35,-10.75,-0.00823534,,,,
628,2006/1/18,1294.6,0.283333333,0.00021886,,,,
629,,1294.883333,0.283333333,0.00021881,,,,
630,,1295.166667,0.283333333,0.00021876,,,,
631,2006/4/18,1295.45,-3.4,-0.00262457,,,,
632,2006/5/18,1292.05,8.05,0.00623041,,,,
633,2006/6/18,1300.1,-2.85,-0.00219214,,,,
634,2006/7/18,1297.25,1,0.00077086,,,,
635,2006/8/18,1298.25,0.45,0.00034662,,,,
636,,1298.7,0.45,0.0003465,,,,
637,,1299.15,0.45,0.00034638,,,,
638,2006/11/18,1299.6,-0.95,-0.00073099,,,,
639,2006/12/18,1298.65,-2.5,-0.00192508,,,,
640,6/13/18,1296.15,6.6,0.005092,,,,
641,6/14/18,1302.75,-17.5,-0.01343312,,,,
642,6/15/18,1285.25,-1.233333333,-0.00095961,,,,
643,,1284.016667,-1.233333333,-0.00096053,,,,
644,,1282.783333,-1.233333333,-0.00096145,,,,
645,6/18/18,1281.55,-5.4,-0.00421365,,,,
646,6/19/18,1276.15,-1.95,-0.00152803,,,,
647,6/20/18,1274.2,-8.05,-0.00631769,,,,
648,6/21/18,1266.15,3,0.00236939,,,,
649,6/22/18,1269.15,-0.15,-0.00011819,,,,
650,,1269,-0.15,-0.0001182,,,,
651,,1268.85,-0.15,-0.00011822,,,,
652,6/25/18,1268.7,-8.4,-0.00662095,,,,
653,6/26/18,1260.3,-5.7,-0.00452273,,,,
654,6/27/18,1254.6,-3.05,-0.00243105,,,,
655,6/28/18,1251.55,-1.1,-0.00087891,,,,
656,6/29/18,1250.45,-0.883333333,-0.00070641,,,,
657,,1249.566667,-0.883333333,-0.00070691,,,,
658,,1248.683333,-0.883333333,-0.00070741,,,,
659,2007/2/18,1247.8,3.95,0.00316557,,,,
660,2007/3/18,1251.75,3.9,0.00311564,,,,
661,2007/4/18,1255.65,-0.15,-0.00011946,,,,
662,2007/5/18,1255.5,-0.15,-0.00011947,,,,
663,2007/6/18,1255.35,2.233333333,0.00177905,,,,
664,,1257.583333,2.233333333,0.00177589,,,,
665,,1259.816667,2.233333333,0.00177274,,,,
666,2007/9/18,1262.05,-8.05,-0.00637851,,,,
667,2007/10/18,1254,-2.6,-0.00207337,,,,
668,2007/11/18,1251.4,-5.5,-0.00439508,,,,
669,2007/12/18,1245.9,-4.2,-0.00337106,,,,
670,7/13/18,1241.7,-0.2,-0.00016107,,,,
671,,1241.5,-0.2,-0.0001611,,,,
672,,1241.3,-0.2,-0.00016112,,,,
673,7/16/18,1241.1,-8.3,-0.00668762,,,,
674,7/17/18,1232.8,-8.3,-0.00673264,,,,
675,7/18/18,1224.5,-6.95,-0.00567579,,,,
676,7/19/18,1217.55,11.2,0.0091988,,,,
677,7/20/18,1228.75,-1.266666667,-0.00103086,,,,
678,,1227.483333,-1.266666667,-0.00103192,,,,
679,,1226.216667,-1.266666667,-0.00103299,,,,
680,7/23/18,1224.95,3.4,0.00277562,,,,
681,7/24/18,1228.35,3.15,0.00256442,,,,
682,7/25/18,1231.5,-3.25,-0.00263906,,,,
683,7/26/18,1228.25,-4.3,-0.00350092,,,,
684,7/27/18,1223.95,-0.05,-0.00004085,,,,
685,,1223.9,-0.05,-0.00004085,,,,
686,,1223.85,-0.05,-0.00004085,,,,
687,7/30/18,1223.8,-2.85,-0.00232881,,,,
688,7/31/18,1220.95,-1.95,-0.00159712,,,,
689,2008/1/18,1219,-3.55,-0.00291222,,,,
690,2008/2/18,1215.45,0.85,0.00069933,,,,
691,2008/3/18,1216.3,-2.216666667,-0.00182247,,,,
692,,1214.083333,-2.216666667,-0.00182579,,,,
693,,1211.866667,-2.216666667,-0.00182913,,,,
694,2008/6/18,1209.65,2.7,0.00223205,,,,
695,2008/7/18,1212.35,-2.8,-0.00230956,,,,
696,2008/8/18,1209.55,4.8,0.00396842,,,,
697,2008/9/18,1214.35,0.05,0.00004117,,,,
698,2008/10/18,1214.4,-4.683333333,-0.0038565,,,,
699,,1209.716667,-4.683333333,-0.00387143,,,,
700,,1205.033333,-4.683333333,-0.00388648,,,,
701,8/13/18,1200.35,-3.35,-0.00279085,,,,
702,8/14/18,1197,-15,-0.01253133,,,,
703,8/15/18,1182,-1.6,-0.00135364,,,,
704,8/16/18,1180.4,-2,-0.00169434,,,,
705,8/17/18,1178.4,1.983333333,0.00168307,,,,
706,,1180.383333,1.983333333,0.00168025,,,,
707,,1182.366667,1.983333333,0.00167743,,,,
708,8/20/18,1184.35,6.6,0.00557268,,,,
709,8/21/18,1190.95,5.7,0.0047861,,,,
710,8/22/18,1196.65,-4.3,-0.00359336,,,,
711,8/23/18,1192.35,5.35,0.00448694,,,,
712,8/24/18,1197.7,4.85,0.00404943,,,,
713,,1202.55,4.85,0.0040331,,,,
714,,1207.4,4.85,0.0040169,,,,
715,8/28/18,1212.25,-8.05,-0.00664054,,,,
716,8/29/18,1204.2,-6.9,-0.00572995,,,,
717,8/30/18,1197.3,5.15,0.00430134,,,,
718,8/31/18,1202.45,-0.6,-0.00049898,,,,
719,,1201.85,-0.6,-0.00049923,,,,
720,,1201.25,-0.6,-0.00049948,,,,
721,,1200.65,-0.6,-0.00049973,,,,
722,2009/3/18,1200.05,-9.2,-0.00766635,,,,
723,2009/4/18,1190.85,5.85,0.00491246,,,,
724,2009/5/18,1196.7,8.45,0.00706108,,,,
725,2009/6/18,1205.15,-6.25,-0.00518608,,,,
726,2009/7/18,1198.9,-0.766666667,-0.00063948,,,,
727,,1198.133333,-0.766666667,-0.00063988,,,,
728,,1197.366667,-0.766666667,-0.00064029,,,,
729,2009/10/18,1196.6,-6.75,-0.00564098,,,,
730,2009/11/18,1189.85,5.75,0.00483254,,,,
731,2009/12/18,1195.6,14.2,0.01187688,,,,
732,9/13/18,1209.8,-7.85,-0.00648868,,,,
733,9/14/18,1201.95,-0.016666667,-0.00001387,,,,
734,,1201.933333,-0.016666667,-0.00001387,,,,
735,,1201.916667,-0.016666667,-0.00001387,,,,
736,9/17/18,1201.9,-1.7,-0.00141443,,,,
737,9/18/18,1200.2,3.1,0.0025829,,,,
738,9/19/18,1203.3,5.05,0.00419679,,,,
739,9/20/18,1208.35,-9.65,-0.0079861,,,,
740,9/21/18,1198.7,1.35,0.00112622,,,,
741,,1200.05,1.35,0.00112495,,,,
742,,1201.4,1.35,0.00112369,,,,
743,9/24/18,1202.75,-0.85,-0.00070671,,,,
744,9/25/18,1201.9,-7.65,-0.00636492,,,,
745,9/26/18,1194.25,-8.85,-0.00741051,,,,
746,9/27/18,1185.4,1.85,0.00156065,,,,
747,9/28/18,1187.25,0.7,0.0005896,,,,
748,,1187.95,0.7,0.00058925,,,,
749,,1188.65,0.7,0.0005889,,,,
750,2010/1/18,1189.35,15.35,0.01290621,,,,
751,2010/2/18,1204.7,-3.5,-0.00290529,,,,
752,2010/3/18,1201.2,2.25,0.00187313,,,,
753,2010/4/18,1203.45,0.35,0.00029083,,,,
754,2010/5/18,1203.8,-5.616666667,-0.00466578,,,,
755,,1198.183333,-5.616666667,-0.00468765,,,,
756,,1192.566667,-5.616666667,-0.00470973,,,,
757,2010/8/18,1186.95,-1.4,-0.00117949,,,,
758,2010/9/18,1185.55,3.05,0.00257265,,,,
759,2010/10/18,1188.6,16.95,0.01426047,,,,
760,2010/11/18,1205.55,14.2,0.01177886,,,,
761,2010/12/18,1219.75,3.4,0.00278746,,,,
762,,1223.15,3.4,0.00277971,,,,
763,,1226.55,3.4,0.002772,,,,
764,10/15/18,1229.95,0.75,0.00060978,,,,
765,10/16/18,1230.7,-1.65,-0.0013407,,,,
766,10/17/18,1229.05,-6.05,-0.0049225,,,,
767,10/18/18,1223,4.85,0.00396566,,,,
768,10/19/18,1227.85,-1.85,-0.0015067,,,,
769,,1226,-1.85,-0.00150897,,,,
770,,1224.15,-1.85,-0.00151125,,,,
771,10/22/18,1222.3,13.65,0.01116747,,,,
772,10/23/18,1235.95,-5.4,-0.00436911,,,,
773,10/24/18,1230.55,0.25,0.00020316,,,,
774,10/25/18,1230.8,3.05,0.00247806,,,,
775,10/26/18,1233.85,-1.016666667,-0.00082398,,,,
776,,1232.833333,-1.016666667,-0.00082466,,,,
777,,1231.816667,-1.016666667,-0.00082534,,,,
778,10/29/18,1230.8,-5.4,-0.00438739,,,,
779,10/30/18,1225.4,-10.45,-0.00852783,,,,
780,10/31/18,1214.95,16.2,0.01333388,,,,
781,2011/1/18,1231.15,0.95,0.00077164,,,,
782,2011/2/18,1232.1,0.05,0.00004058,,,,
783,,1232.15,0.05,0.00004058,,,,
784,,1232.2,0.05,0.00004058,,,,
785,2011/5/18,1232.25,-0.65,-0.00052749,,,,
786,2011/6/18,1231.6,-1.65,-0.00133972,,,,
787,2011/7/18,1229.95,-5.8,-0.00471564,,,,
788,2011/8/18,1224.15,-12.75,-0.01041539,,,,
789,2011/9/18,1211.4,-1.95,-0.00160971,,,,
790,,1209.45,-1.95,-0.0016123,,,,
791,,1207.5,-1.95,-0.00161491,,,,
792,2011/12/18,1205.55,-3.45,-0.00286176,,,,
793,11/13/18,1202.1,1.15,0.00095666,,,,
794,11/14/18,1203.25,8.6,0.00714731,,,,
795,11/15/18,1211.85,10.55,0.0087057,,,,
796,11/16/18,1222.4,-0.266666667,-0.00021815,,,,
797,,1222.133333,-0.266666667,-0.0002182,,,,
798,,1221.866667,-0.266666667,-0.00021825,,,,
799,11/19/18,1221.6,1.4,0.00114604,,,,
800,11/20/18,1223,3.1,0.00253475,,,,
801,11/21/18,1226.1,0.95,0.00077481,,,,
802,11/22/18,1227.05,-3.4,-0.00277087,,,,
803,11/23/18,1223.65,-0.083333333,-0.0000681,,,,
804,,1223.566667,-0.083333333,-0.00006811,,,,
805,,1223.483333,-0.083333333,-0.00006811,,,,
806,11/26/18,1223.4,-2.2,-0.00179827,,,,
807,11/27/18,1221.2,-7.95,-0.00650999,,,,
808,11/28/18,1213.25,13,0.01071502,,,,
809,11/29/18,1226.25,-8.7,-0.0070948,,,,
810,11/30/18,1217.55,4.25,0.00349062,,,,
811,,1221.8,4.25,0.00347847,,,,
812,,1226.05,4.25,0.00346642,,,,
813,2012/3/18,1230.3,10,0.0081281,,,,
814,2012/4/18,1240.3,-4.4,-0.00354753,,,,
815,2012/5/18,1235.9,6.65,0.00538069,,,,
816,2012/6/18,1242.55,0.75,0.0006036,,,,
817,2012/7/18,1243.3,0.683333333,0.00054961,,,,
818,,1243.983333,0.683333333,0.00054931,,,,
819,,1244.666667,0.683333333,0.00054901,,,,
820,2012/10/18,1245.35,-0.05,-0.00004015,,,,
821,2012/11/18,1245.3,0.45,0.00036136,,,,
822,2012/12/18,1245.75,-3,-0.00240819,,,,
823,12/13/18,1242.75,-7.4,-0.00595454,,,,
824,12/14/18,1235.35,2.1,0.00169992,,,,
825,,1237.45,2.1,0.00169704,,,,
826,,1239.55,2.1,0.00169416,,,,
827,12/17/18,1241.65,4.65,0.00374502,,,,
828,12/18/18,1246.3,8.7,0.00698066,,,,
829,12/19/18,1255,4.75,0.00378486,,,,
830,12/20/18,1259.75,-1.6,-0.00127009,,,,
831,12/21/18,1258.15,1.641666667,0.00130483,,,,
832,,1259.791667,1.641666667,0.00130313,,,,
833,,1261.433333,1.641666667,0.00130143,,,,
834,12/24/18,1263.075,1.641666667,0.00129974,,,,
835,,1264.716667,1.641666667,0.00129805,,,,
836,,1266.358333,1.641666667,0.00129637,,,,
837,12/27/18,1268,11,0.00867508,,,,
838,12/28/18,1279,0.78,0.00060985,,,,
839,,1279.78,0.78,0.00060948,,,,
840,,1280.56,0.78,0.00060911,,,,
841,12/31/18,1281.34,0.78,0.00060874,,,,
842,,1282.12,0.78,0.00060837,,,,
843,2001/2/19,1282.9,7.55,0.0058851,,,,
844,2001/3/19,1290.45,-10.55,-0.00817544,,,,
845,2001/4/19,1279.9,4.1,0.00320338,,,,
846,,1284,4.1,0.00319315,,,,
847,,1288.1,4.1,0.00318298,,,,
848,2001/7/19,1292.2,-5.75,-0.00444978,,,,
849,2001/8/19,1286.45,2.15,0.00167127,,,,
850,2001/9/19,1288.6,3.3,0.00256092,,,,
851,2001/10/19,1291.9,-2.95,-0.00228346,,,,
852,2001/11/19,1288.95,1.266666667,0.00098271,,,,
853,,1290.216667,1.266666667,0.00098175,,,,
854,,1291.483333,1.266666667,0.00098078,,,,
855,1/14/19,1292.75,1.65,0.00127635,,,,
856,1/15/19,1294.4,-2.1,-0.00162237,,,,
857,1/16/19,1292.3,-1.6,-0.0012381,,,,
858,1/17/19,1290.7,-6.5,-0.00503603,,,,
859,1/18/19,1284.2,-1.55,-0.00120698,,,,
860,,1282.65,-1.55,-0.00120844,,,,
861,,1281.1,-1.55,-0.0012099,,,,
862,1/21/19,1279.55,2.55,0.00199289,,,,
863,1/22/19,1282.1,-2.3,-0.00179393,,,,
864,1/23/19,1279.8,3.9,0.00304735,,,,
865,1/24/19,1283.7,10.2,0.00794578,,,,
866,1/25/19,1293.9,2.75,0.00212536,,,,
867,,1296.65,2.75,0.00212085,,,,
868,,1299.4,2.75,0.00211636,,,,
869,1/28/19,1302.15,5.4,0.00414699,,,,
870,1/29/19,1307.55,3.15,0.00240909,,,,
871,1/30/19,1310.7,12.55,0.00957504,,,,
872,1/31/19,1323.25,-4.55,-0.0034385,,,,
873,2002/1/19,1318.7,-2.183333333,-0.00165567,,,,
874,,1316.516667,-2.183333333,-0.00165842,,,,
875,,1314.333333,-2.183333333,-0.00166117,,,,
876,2002/4/19,1312.15,2.05,0.00156232,,,,
877,2002/5/19,1314.2,-1.8,-0.00136965,,,,
878,2002/6/19,1312.4,-2.4,-0.00182871,,,,
879,2002/7/19,1310,4.85,0.00370229,,,,
880,2002/8/19,1314.85,-2.816666667,-0.0021422,,,,
881,,1312.033333,-2.816666667,-0.0021468,,,,
882,,1309.216667,-2.816666667,-0.00215141,,,,
883,2002/11/19,1306.4,3.6,0.00275566,,,,
884,2002/12/19,1310,2.8,0.0021374,,,,
885,2/13/19,1312.8,-1.35,-0.00102834,,,,
886,2/14/19,1311.45,5.1,0.00388883,,,,
887,2/15/19,1316.55,2.983333333,0.00226602,,,,
888,,1319.533333,2.983333333,0.0022609,,,,
889,,1322.516667,2.983333333,0.0022558,,,,
890,2/18/19,1325.5,8.65,0.00652584,,,,
891,2/19/19,1334.15,9.6,0.00719559,,,,
892,2/20/19,1343.75,-12.5,-0.00930233,,,,
893,2/21/19,1331.25,-2.2,-0.00165258,,,,
894,2/22/19,1329.05,0.666666667,0.00050161,,,,
895,,1329.716667,0.666666667,0.00050136,,,,
896,,1330.383333,0.666666667,0.00050111,,,,
897,2/25/19,1331.05,-6,-0.00450772,,,,
898,2/26/19,1325.05,-2.2,-0.00166031,,,,
899,2/27/19,1322.85,-3.7,-0.00279699,,,,
900,2/28/19,1319.15,-7.2,-0.00545806,,,,
901,2003/1/19,1311.95,-8.85,-0.00674568,,,,
902,,1303.1,-8.85,-0.0067915,,,,
903,,1294.25,-8.85,-0.00683794,,,,
904,2003/4/19,1285.4,-1.6,-0.00124475,,,,
905,2003/5/19,1283.8,2.05,0.00159682,,,,
906,2003/6/19,1285.85,-0.55,-0.00042773,,,,
907,2003/7/19,1285.3,11.45,0.00890843,,,,
908,2003/8/19,1296.75,-1.333333333,-0.00102821,,,,
909,,1295.416667,-1.333333333,-0.00102927,,,,
910,,1294.083333,-1.333333333,-0.00103033,,,,
911,2003/11/19,1292.75,4.3,0.00332624,,,,
912,2003/12/19,1297.05,9.9,0.0076327,,,,
913,3/13/19,1306.95,-11.4,-0.0087226,,,,
914,3/14/19,1295.55,7.95,0.00613639,,,,
915,3/15/19,1303.5,0.7,0.00053702,,,,
916,,1304.2,0.7,0.00053673,,,,
917,,1304.9,0.7,0.00053644,,,,
918,3/18/19,1305.6,2.1,0.00160846,,,,
919,3/19/19,1307.7,-4,-0.00305881,,,,
920,3/20/19,1303.7,5.9,0.00452558,,,,
921,3/21/19,1309.6,1.7,0.00129811,,,,
922,3/22/19,1311.3,2.75,0.00209716,,,,
923,,1314.05,2.75,0.00209277,,,,
924,,1316.8,2.75,0.0020884,,,,
925,3/25/19,1319.55,-3.25,-0.00246296,,,,
926,3/26/19,1316.3,-6.6,-0.00501405,,,,
927,3/27/19,1309.7,-14.55,-0.01110941,,,,
928,3/28/19,1295.15,0.25,0.00019303,,,,
929,3/29/19,1295.4,-0.633333333,-0.00048891,,,,
